,name,rating,review_count,latitude,longitude,categories,location,city_bikes_ll
110,Café d'Albert,5.0,4,48.85609,2.3944,"Lounges, French",109 boulevard de Charonne,"48.855907555969,2.3925706744194"
111,Le Siffleur de Ballons,4.5,45,48.84965,2.38117,"Bistros, Wine Bars",34 rue de Citeaux,"48.855907555969,2.3925706744194"
112,La Fine Mousse,4.5,99,48.86487,2.381824,Beer Bar,6 avenue Jean Aicard,"48.855907555969,2.3925706744194"
113,Chez Troquette,5.0,12,48.85866,2.3833900000000003,French,1 rue Saint-Maur,"48.855907555969,2.3925706744194"
114,Mokonuts,5.0,31,48.850763420373106,2.38146599382162,"Cafes, Bakeries",5 rue Saint-Bernard,"48.855907555969,2.3925706744194"
115,Les Mondes Bohèmes,4.0,50,48.853884,2.399349,"Bars, French",31 rue des Vignoles,"48.855907555969,2.3925706744194"
116,L'Ebauchoir,4.0,127,48.849860429523,2.3811310000000003,French,43-45 rue de Citeaux,"48.855907555969,2.3925706744194"
117,Le Réservoir,3.5,112,48.851451399999995,2.3806465,"Bars, Music Venues, French",16 rue de la Forge Royale,"48.855907555969,2.3925706744194"
119,Le Ciel,4.5,7,48.853201203834494,2.39042289555073,"French, Bars",17 rue Alexandre Dumas,"48.855907555969,2.3925706744194"
120,Bar & Beer Bercy,4.5,9,48.839431,2.38783,Beer Bar,4 rue du Charolais,"48.840855311763,2.3875549435616"
121,L'Alchimiste,4.0,46,48.843173344452,2.3854776755441,"French, Brasseries",181 rue de Charenton,"48.840855311763,2.3875549435616"
122,Il Goto,4.0,10,48.840868,2.3872720000000003,Italian,212 bis rue de Charenton,"48.840855311763,2.3875549435616"
123,Le Touareg,4.5,11,48.8397217,2.3885688,"Moroccan, Mediterranean, African",228 rue Charenton,"48.840855311763,2.3875549435616"
124,Le Janissaire,4.0,83,48.841635708226,2.3917643861582003,Turkish,22-24 allée Vivaldi,"48.840855311763,2.3875549435616"
125,Les Caves de Reuilly,4.5,11,48.839364,2.39073,"Wine Bars, Champagne Bars, Beer Bar",11 boulevard de Reuilly,"48.840855311763,2.3875549435616"
126,La Feria,4.0,41,48.8438,2.38824,"Spanish, Tapas Bars",25 Rue Montgallet,"48.840855311763,2.3875549435616"
127,Le Calbar,4.5,100,48.84853,2.37564,Cocktail Bars,82 rue de Charenton,"48.840855311763,2.3875549435616"
128,L'Encrier,4.0,64,48.848259999999996,2.3740099999999997,French,55 rue Traversière,"48.840855311763,2.3875549435616"
130,Yeko,4.0,27,48.8402,2.39242,"Japanese, Sushi Bars",154 ave Daumesnil,"48.840855311763,2.3875549435616"
131,Les Jardins de Mandchourie,4.0,42,48.841770200000006,2.3905699,Chinese,32-34 allée Vivaldi,"48.840855311763,2.3875549435616"
