,name_x,rating,review_count,latitude_x,longitude_x,categories,location,city_bikes_ll,latitude_y,longitude_y,name_y,free_bikes,empty_slots,extra.uid,Total_slots,Station_usage_percentage
2455,Restaurant Mandarin,1.0,1,48.90502120000001,2.3022795,Restaurants,114 Boulevard Jean Jaurès,"48.905169868129036,2.3023840785026555",48.90516986812904,2.3023840785026555,Guichet - Jean Jaurès,26,2,21109,28,7.142857142857142
2456,Le Sicilien,3.0,5,48.90289,2.30391,"Italian, Pizza",82 bd Jean Jaurès,"48.905169868129036,2.3023840785026555",48.90516986812904,2.3023840785026555,Guichet - Jean Jaurès,26,2,21109,28,7.142857142857142
2457,Crêperie du Landy,5.0,1,48.904397,2.3032219,Creperies,3 rue du Landy,"48.905169868129036,2.3023840785026555",48.90516986812904,2.3023840785026555,Guichet - Jean Jaurès,26,2,21109,28,7.142857142857142
2458,Hbro,4.5,3,48.90232,2.3024,"Burgers, Barbeque, Halal",100 rue de Paris,"48.905169868129036,2.3023840785026555",48.90516986812904,2.3023840785026555,Guichet - Jean Jaurès,26,2,21109,28,7.142857142857142
2459,Royal Nippon,4.0,2,48.9056686,2.302054,Restaurants,1 Rue D'Estienne d'Orves,"48.905169868129036,2.3023840785026555",48.90516986812904,2.3023840785026555,Guichet - Jean Jaurès,26,2,21109,28,7.142857142857142
2460,Jardin du Chiang Maï,4.0,15,48.86428,2.40021,Thai,28 rue Cour des Noues,"48.87308753734472,2.4133380129933357",48.87308753734472,2.413338012993336,Evariste Galois,13,16,20120,29,55.172413793103445
2461,Le Temple du Thé PARIS,5.0,4,48.8643074,2.4011871,Coffee & Tea,33 rue de la Cour des Noues,"48.87308753734472,2.4133380129933357",48.87308753734472,2.413338012993336,Evariste Galois,13,16,20120,29,55.172413793103445
2462,Palais de Pelleport,4.0,8,48.8682299,2.4005899,"Thai, Chinese, Vietnamese",99 rue Orfila,"48.87308753734472,2.4133380129933357",48.87308753734472,2.413338012993336,Evariste Galois,13,16,20120,29,55.172413793103445
2463,Le Fournil de Mouffetard,4.5,26,48.84022,2.349866,Bakeries,123 rue Mouffetard,"48.83976676978202,2.347510904073715",48.83976676978203,2.3475109040737148,Claude Bernard - Arbalète,4,12,5114,16,75.0
2464,Les Délices d'Aphrodite,4.0,64,48.840168216506,2.3510968993921,Greek,4 Rue Candolle,"48.83976676978202,2.347510904073715",48.83976676978203,2.3475109040737148,Claude Bernard - Arbalète,4,12,5114,16,75.0
2465,Le SweetSpot,4.5,18,48.8409309,2.34951,"Tea Rooms, Breakfast & Brunch, French",108 rue Mouffetard,"48.83976676978202,2.347510904073715",48.83976676978203,2.3475109040737148,Claude Bernard - Arbalète,4,12,5114,16,75.0
2466,BocaMexa,4.0,63,48.84015,2.34983,Mexican,127 rue Mouffetard,"48.83976676978202,2.347510904073715",48.83976676978203,2.3475109040737148,Claude Bernard - Arbalète,4,12,5114,16,75.0
2467,Le Pot O' Lait,4.0,41,48.83993,2.35173,Creperies,41 rue Censier,"48.83976676978202,2.347510904073715",48.83976676978203,2.3475109040737148,Claude Bernard - Arbalète,4,12,5114,16,75.0
2468,Tasty Nouilles,4.5,15,48.838802,2.350932,Chinese,121 rue Monge,"48.83976676978202,2.347510904073715",48.83976676978203,2.3475109040737148,Claude Bernard - Arbalète,4,12,5114,16,75.0
2469,La Forge,4.5,11,48.83853,2.3496900000000003,French,14 Rue Pascal,"48.83976676978202,2.347510904073715",48.83976676978203,2.3475109040737148,Claude Bernard - Arbalète,4,12,5114,16,75.0
2470,Firmin le Barbier,4.5,52,48.85941,2.29861,French,20 rue de Monttessuy,"48.858102885107,2.3004072904587",48.858102885107,2.3004072904587,Rapp - Place du Général Gouraud,25,4,7024,29,13.793103448275861
